"","reg","kol","finan","in_inn","reit","pobed","zajav","fin","ind_ngo","py","ngo","msp","ciss","in_ngo","in_msp","kolSP","in_sp"
"1","Москва",13,28961000,6.84,71,1625,6756,8535265066.31,24.05,221,14,22,0,6.33,9.95,76,17.59
"2","Вологодская область",12,24308000,6.32,68.5,190,449,248873230.46,42.32,70,4,4,1,5.71,5.71,16,3.7
"3","Свердловская область",9,21651000,4.74,69.83,337,1145,669746480.7,29.43,181,25,6,0,13.81,3.31,12,2.78
"4","Астраханская область",8,66650000,4.21,67.875,30,112,31997799.31,26.79,43,2,3,1,4.65,6.98,2,0.46
"5","Пермский край",7,19351741,3.68,69.75,236,684,430728164.05,34.5,96,16,31,1,16.67,32.29,16,3.7
"6","Республика Татарстан",7,20499000,3.68,69.25,314,1437,494254003.22,21.85,152,19,3,1,12.5,1.97,12,2.78
"7","Калининградская область",6,18200000,3.16,71.25,130,346,195604258.23,37.57,92,35,4,0,38.04,4.35,11,2.55
"8","Кемеровская область",6,12870000,3.16,67.25,153,441,143222771.81,34.69,83,12,3,0,14.46,3.61,36,8.33
"9","Ростовская область",6,10550000,3.16,69.16,195,726,238017296.91,26.86,184,21,17,0,11.41,9.24,4,0.93
"10","Архангельская область",5,7440000,2.63,69.625,136,312,250668977.1,43.59,75,14,11,1,18.67,14.67,10,2.31
"11","Нижегородская область",5,9580000,2.63,70.125,228,662,370385500.18,34.44,201,18,23,0,8.96,11.44,8,1.85
"12","Ханты-Мансийский автономный округ - Югра",5,43900000,2.63,67.75,239,790,212609863.89,30.25,200,61,94,1,30.5,47,32,7.41
"13","Волгоградская область",4,5200000,2.11,67.83,397,1687,435525532,23.53,111,26,1,0,23.42,0.9,2,0.46
"14","Воронежская область",4,17650000,2.11,68.5,168,421,205978159.46,39.9,121,13,1,0,10.74,0.83,2,0.46
"15","Иркутская область",4,6051000,2.11,69.5,262,806,421209864.82,32.51,93,6,0,1,6.45,0,16,3.7
"16","Самарская область",4,4850000,2.11,70,273,752,482680527.98,36.3,134,21,0,1,15.67,0,3,0.69
"17","Ивановская область",3,11000000,1.58,68.75,55,193,95624593.56,28.5,40,4,1,0,10,2.5,1,0.23
"18","Новосибирская область",3,5900000,1.58,70.25,233,663,469050577.23,35.14,142,53,4,0,37.32,2.82,7,1.62
"19","Республика Алтай",3,12500000,1.58,66.25,69,212,50942666.46,32.55,20,2,0,1,10,0,3,0.69
"20","Республика Коми",3,3400000,1.58,67.25,87,293,95657193.38,29.69,56,12,2,1,21.43,3.57,2,0.46
"21","Хабаровский край",3,5500000,1.58,68.83,129,434,180929265.46,29.72,69,19,5,0,27.54,7.25,1,0.23
"22","Костромская область",2,2200000,1.05,69.75,68,224,107591380.36,30.36,69,12,4,0,17.39,5.8,1,0.23
"23","Красноярский край",2,3000000,1.05,69.29,270,679,439587033.42,39.76,171,20,5,1,11.7,2.92,11,2.55
"24","Курская область",2,5800000,1.05,69.75,71,199,78357306.23,35.68,61,6,5,0,9.84,8.2,5,1.16
"25","Приморский край",2,6000000,1.05,70,137,285,255365436.15,48.07,37,7,2,0,18.92,5.41,4,0.93
"26","Республика Башкортостан",2,5200000,1.05,68.5,287,1395,307836216.98,20.57,192,72,64,1,37.5,33.33,20,4.63
"27","Тюменская область",2,5120000,1.05,68.915,198,663,298879938.43,29.86,83,33,2,0,39.76,2.41,2,0.46
"28","Челябинская область",2,3107580,1.05,69,252,623,331297110.64,40.45,141,16,2,0,11.35,1.42,4,0.93
"29","Ярославская область",2,2000000,1.05,69.625,114,335,175162365,34.03,58,3,1,0,5.17,1.72,2,0.46
"30","Алтайский край",1,325000,0.53,68.29,192,552,241338878.92,34.78,107,14,3,1,13.08,2.8,9,2.08
"31","Брянская область",1,450000,0.53,69.75,64,153,118168587.52,41.83,78,12,2,0,15.38,2.56,1,0.23
"32","Владимирская область",1,400000,0.53,68.75,124,239,204515200.48,51.88,96,8,7,0,8.33,7.29,1,0.23
"33","Кировская область",1,5000000,0.53,70.25,105,301,146544745.12,34.88,44,4,0,0,9.09,0,4,0.93
"34","Оренбургская область",1,500000,0.53,68.625,104,245,125678626.77,42.45,75,10,2,0,13.33,2.67,2,0.46
"35","Республика Мордовия",1,2000000,0.53,66.625,78,422,76958442.92,18.48,59,18,0,1,30.51,0,3,0.69
"36","Республика Хакасия",1,500000,0.53,68.25,40,187,49485784.11,21.39,31,7,2,0,22.58,6.45,1,0.23
"37","Рязанская область",1,500000,0.53,67.75,61,244,74426559.27,25,50,5,1,0,10,2,1,0.23
"38","Томская область",1,1000000,0.53,69,127,355,207721210.03,35.77,37,5,1,0,13.51,2.7,2,0.46
"39","Ямало-Ненецкий автономный округ",1,2000000,0.53,68.5,74,385,70768005.08,19.22,35,6,4,0,17.14,11.43,2,0.46
