"","reg","kol","pobed","zajav","ngo","py","msp","kolSP","group"
"1","Москва",13,1625,6756,14,221,22,76,"1"
"2","Вологодская область",12,190,449,4,70,4,16,"2"
"3","Свердловская область",9,337,1145,25,181,6,12,"2"
"4","Астраханская область",8,30,112,2,43,3,2,"2"
"5","Пермский край",7,236,684,16,96,31,16,"2"
"6","Республика Татарстан",7,314,1437,19,152,3,12,"2"
"7","Калининградская область",6,130,346,35,92,4,11,"2"
"8","Кемеровская область",6,153,441,12,83,3,36,"2"
"9","Ростовская область",6,195,726,21,184,17,4,"2"
"10","Архангельская область",5,136,312,14,75,11,10,"2"
"11","Нижегородская область",5,228,662,18,201,23,8,"2"
"12","Ханты-Мансийский автономный округ - Югра",5,239,790,61,200,94,32,"3"
"13","Волгоградская область",4,397,1687,26,111,1,2,"2"
"14","Воронежская область",4,168,421,13,121,1,2,"2"
"15","Иркутская область",4,262,806,6,93,0,16,"2"
"16","Самарская область",4,273,752,21,134,0,3,"2"
"17","Ивановская область",3,55,193,4,40,1,1,"4"
"18","Новосибирская область",3,233,663,53,142,4,7,"2"
"19","Республика Алтай",3,69,212,2,20,0,3,"4"
"20","Республика Коми",3,87,293,12,56,2,2,"4"
"21","Хабаровский край",3,129,434,19,69,5,1,"4"
"22","Костромская область",2,68,224,12,69,4,1,"4"
"23","Красноярский край",2,270,679,20,171,5,11,"2"
"24","Курская область",2,71,199,6,61,5,5,"4"
"25","Приморский край",2,137,285,7,37,2,4,"4"
"26","Республика Башкортостан",2,287,1395,72,192,64,20,"3"
"27","Тюменская область",2,198,663,33,83,2,2,"2"
"28","Челябинская область",2,252,623,16,141,2,4,"2"
"29","Ярославская область",2,114,335,3,58,1,2,"4"
"30","Алтайский край",1,192,552,14,107,3,9,"2"
"31","Брянская область",1,64,153,12,78,2,1,"4"
"32","Владимирская область",1,124,239,8,96,7,1,"4"
"33","Кировская область",1,105,301,4,44,0,4,"4"
"34","Оренбургская область",1,104,245,10,75,2,2,"4"
"35","Республика Мордовия",1,78,422,18,59,0,3,"4"
"36","Республика Хакасия",1,40,187,7,31,2,1,"4"
"37","Рязанская область",1,61,244,5,50,1,1,"4"
"38","Томская область",1,127,355,5,37,1,2,"4"
"39","Ямало-Ненецкий автономный округ",1,74,385,6,35,4,2,"4"
